solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_10_5,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,competitor_sales_B,0.139187309688246,68127297.607083,0.412734855240175,740514.104424816,0.239313938521881,68127297.607083,0.412734855240175,740514.104424816,0.239313938521881,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,events,0.88510635294114,1081388.78490971,0.00655136574141252,1081388.78490971,0.349475327537681,1081388.78490971,0.00655136574141252,1081388.78490971,0.349475327537681,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,facebook_I,104070.147644327,2316540.15144348,0.0140342696341543,25179.7842548204,0.00813741872726764,2316540.15144348,0.0140342696341543,25179.7842548204,0.00813741872726764,TRUE,0.181827675117088,0.0955571118444132,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,5988890.41190929,136111.145725211,0.181827675117088,0.0955571118444132,0.304973109027945,0.38680623489735,2.58527373599699,41510.2392851734,0.000261934961599764
1_10_5,holiday,0.985575544319862,4464848.35303361,0.0270493415031197,279053.022064601,0.0901823170790035,4464848.35303361,0.0270493415031197,279053.022064601,0.0901823170790035,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,newsletter,210350.577963274,6727245.70396883,0.0407555984064748,73122.2359127047,0.0236311100156394,6727245.70396883,0.0407555984064748,73122.2359127047,0.0236311100156394,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,ooh_S,286501.236123195,6906722.36438796,0.0418429198775877,75073.06917813,0.024261566058757,6906722.36438796,0.0418429198775877,75073.06917813,0.024261566058757,TRUE,0.310911157955088,0.28490179246014,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,10240536,262577.846153846,0.310911157955088,0.28490179246014,0.41884060068816,0.674449302691574,1.48269113187489,109978.26281048,0.148100635895389
1_10_5,print_S,250877.683070118,3613245.19588842,0.021890083494479,39274.404303135,0.0126924150677514,3613245.19588842,0.021890083494479,39274.404303135,0.0126924150677514,TRUE,0.0848043521333921,0.149046100103059,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,2793216,77589.3333333333,0.0848043521333921,0.149046100103059,1.35606035852296,1.29357886962141,0.773049114734436,105215.819177558,1.5086673922051
1_10_5,search_clicks_P,101362.132971604,3312748.13094244,0.0200695854422022,36008.13185807,0.0116368450003573,3312748.13094244,0.0200695854422022,36008.13185807,0.0116368450003573,TRUE,0.111321014032676,0.136650618148615,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,3666600,47618.1818181818,0.111321014032676,0.136650618148615,0.845758985831157,0.903493190133214,1.10681520449817,40273.5051616691,0.35170007400302
1_10_5,season,0.355485564670179,-2867575.20751375,-0.0173725992331223,-31169.2957338452,-0.0100730652913271,-2867575.20751375,-0.0173725992331223,-31169.2957338452,-0.0100730652913271,FALSE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,trend,0.227745627407232,63287434.6216257,0.383413566728104,687906.898061149,0.222312725885558,63287434.6216257,0.383413566728104,687906.898061149,0.222312725885558,TRUE,,,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,,,,,,,,,
1_10_5,tv_S,448700.175250536,8093211.37647345,0.0490310131654131,87969.6888747114,0.0284294013974303,8093211.37647345,0.0490310131654131,87969.6888747114,0.0284294013974303,TRUE,0.311135800761756,0.333844377443773,0,0.0613291927001075,0.115772914201145,0.927872804216398,352378.674023944,5,10,1,1,59,1,10247935.1,256198.3775,0.311135800761756,0.333844377443773,0.277625650425007,0.789740693856799,1.26623840936494,71127.2411912691,0.47087585972622
1_10_6,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,,,,,,,,,
1_10_6,competitor_sales_B,0.151411560938598,74110639.0828385,0.448987608536051,805550.424813462,0.254675699092416,74110639.0828385,0.448987608536051,805550.424813462,0.254675699092416,TRUE,,,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,,,,,,,,,
1_10_6,events,0.933222224929911,1140174.90046736,0.00690756965813584,1140174.90046736,0.360467614341327,1140174.90046736,0.00690756965813584,1140174.90046736,0.360467614341327,TRUE,,,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,,,,,,,,,
1_10_6,facebook_I,23022.2308500045,234511.805889746,0.00142075275834843,2549.0413683668,0.000805882378691108,234511.805889746,0.00142075275834843,2549.0413683668,0.000805882378691108,TRUE,0.181827675117088,0.015659531823802,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,5988890.41190929,136111.145725211,0.181827675117088,0.015659531823802,0.0371502640865747,0.0391578054965581,25.5376926086396,5056.56500881785,0.000122293748063385
1_10_6,holiday,1.03085945180699,4669993.23606978,0.028292416863371,291874.577254361,0.0922764853941588,4669993.23606978,0.028292416863371,291874.577254361,0.0922764853941588,TRUE,,,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,,,,,,,,,
1_10_6,newsletter,345698.385691836,7415867.65222326,0.0449278635779922,80607.2570893833,0.0254840776180021,7415867.65222326,0.0449278635779922,80607.2570893833,0.0254840776180021,TRUE,,,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,,,,,,,,,
1_10_6,ooh_S,251475.863778961,2742654.27587103,0.0166159380030183,29811.4595203373,0.00942492742904986,2742654.27587103,0.0166159380030183,29811.4595203373,0.00942492742904986,TRUE,0.310911157955088,0.183140809272865,0,0.0578145059727038,0.290514951623116,0.935902928209769,266561.544311441,6,10,1,1,60,2,10240536,262577.846153846,0.310911157955088,0.183140809272865,0.203469899934018,0.267823312751504,3.73380490938755,53426.6880818132,0.252416357077891
